"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 31, 2016",Georgia,"Lenox (El Dorado)","27 Briarwood Ct",2,2,N/A
"December 31, 2016",Texas,Houston,"3704 Fannin Street",1,3,N/A
"December 30, 2016",Ohio,Mansfield,"3230 Possum Run Rd",0,5,N/A
"December 30, 2016",Connecticut,Wallingford,"95 S Turnpike Road",2,2,N/A
"December 28, 2016",Georgia,Columbus,"2914 10th Street",1,4,N/A
"December 25, 2016",Alabama,Ozark,"858 US-231",0,4,N/A
"December 25, 2016",Illinois,Chicago,"8600 block of South Maryland Avenue",3,4,N/A
"December 25, 2016","New York","Mount Vernon","4 North 3rd Avenue",1,5,N/A
"December 24, 2016","North Carolina",Madison,"490 K Ford Rd",0,7,N/A
"December 24, 2016","North Carolina",Wilson,"2241 Banks Lane East",4,0,N/A
"December 23, 2016",Alabama,Birmingham,"3813 Richard Arrington Boulevard North",1,3,N/A
"December 23, 2016",Illinois,Chicago,"4900 block of West Hubbard",0,4,N/A
"December 17, 2016","North Carolina",Charlotte,"4115 N. Tryon Street",0,4,N/A
"December 17, 2016",Illinois,"Chicago (Roseland)","100 block of West 105th Street",5,0,N/A
"December 16, 2016",Illinois,Chicago,"4300 block of South Rockwell",2,2,N/A
"December 16, 2016",Illinois,Chicago,"13th and South Kedzie",0,4,N/A
"December 12, 2016",California,Sacramento,"4800 block of Myrtle Avenue",1,3,N/A
"December 11, 2016","New York",Brooklyn,"192 Knickerbocker Ave",0,4,N/A
"December 11, 2016",Florida,"Orlando (Pine Hills)","4305 N Pine Hills Rd",1,4,N/A
"December 11, 2016",Maryland,Baltimore,"3916 South Hanover Street",0,5,N/A
"December 11, 2016","North Carolina","Rocky Mount","1200 block of East Highland Ave",0,4,N/A
"December 9, 2016",Texas,Channelview,"15300 block of Market",4,0,N/A
"December 9, 2016",California,Fresno,"842 Fresno Street",0,4,N/A
"December 5, 2016","New Mexico",Albuquerque,"1532 Stagecoach Lane",4,1,N/A
"December 3, 2016",California,"Los Angeles","91st Street and Western Avenue",0,6,N/A
"December 2, 2016","New Jersey",Bloomfield,"3 1st Ave",0,6,N/A
"December 1, 2016",California,"Clearlake Oaks",N/A,1,3,N/A
"November 30, 2016",Maryland,Baltimore,"2901 Garrison Blvd",2,4,N/A
"November 28, 2016",Texas,"Mission (Palmview)","1840 West Palma Vista Drive",1,3,N/A
"November 28, 2016",California,Wilmington,"1067 McDonald Avenue",0,4,N/A
"November 28, 2016",California,"San Pedro","300 block of West 2nd Street",0,4,N/A
