Title,Author,ISBN,Bookshelves,Date Read
"The Averaged American: Surveys, Citizens, and the Making of a Mass Public",Sarah E. Igo,9780674027428,Finished reading,""
Second Nature: A Gardener's Education,Michael Pollan,9780802140111,Finished reading,""
"The Conquest of Cool: Business Culture, Counterculture, and the Rise of Hip Consumerism",Thomas Frank,9780226260129,Finished reading,""
Bike Battles: A History of Sharing the American Road,James Longhurst,9780295742663,Finished reading,""
Bloodlands: Europe Between Hitler and Stalin,Timothy Snyder,9780465031474,Finished reading,""
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,9780804190114,Finished reading,""
Postwar: A History of Europe Since 1945,Tony Judt,9780143037750,Finished reading,""
"The Money Makers: How Roosevelt and Keynes Ended the Depression, Defeated Fascism, and Secured a Prosperous Peace",Eric Rauchway,9780465049691,Finished reading,""
Conscience of a Conservative: A Rejection of Destructive Politics and a Return to Principle,Jeff Flake,9780399592911,Finished reading,""
Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America,Nancy MacLean,9781101980965,Finished reading,""
Recycling,Finn Arne Jørgensen,9780262537827,Finished reading,""
Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,9781400064281,Finished reading,""
How Learning Works: Seven Research-Based Principles for Smart Teaching,Susan A. Ambrose,9780470484104,Finished reading,""
The Future of Ideas: The Fate of the Commons in a Connected World,Lawrence Lessig,9780375726446,Finished reading,""
Here Comes Everybody: The Power of Organizing Without Organizations,Clay Shirky,9780143114949,Finished reading,""
The Attention Merchants: The Epic Scramble to Get Inside Our Heads,Tim Wu,9780385352017,Finished reading,""
Small Teaching: Everyday Lessons from the Science of Learning,James M. Lang,9781118944493,Finished reading,""
Book Was There: Reading in Electronic Times,Andrew   Piper,9780226669786,Finished reading,""
Macroanalysis: Digital Methods and Literary History,Matthew L. Jockers,9780252079078,Finished reading,""
Bobby Kennedy: The Making of a Liberal Icon,Larry Tye,9780812993349,Finished reading,""
Ill Fares the Land,Tony Judt,9780143118763,Finished reading,""
Print Is Dead: Books in Our Digital Age,Jeff Gomez,9780230614468,Finished reading,""
The Very Ugly Bug,Liz Pichon,0545157234,Finished reading,""
Oral History: An Interdisciplinary Anthology,David King Dunaway,9780910050708,Finished reading,""
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,9780553418811,Finished reading,""
"Picturing the Uncertain World: How to Understand, Communicate, and Control Uncertainty Through Graphical Display",Howard Wainer,9780691152677,Finished reading,""
The Future of the Internet--And How to Stop It,Jonathan L. Zittrain,9780300151244,Finished reading,""
Mindful Tech: How to Bring Balance to Our Digital Lives,David M.  Levy,9780300227017,Finished reading,""
When We Are No More: How Digital Memory Is Shaping Our Future,Abby Smith Rumsey,9781620408025,Finished reading,""
The Pleasures of Reading in an Age of Distraction,Alan Jacobs,9780199747498,Finished reading,""
Homesteading: A Montana Family Album,Percy Wollaston,9780140279153,Finished reading,""
Best Easy Day Hikes Yellowstone,Bill Schneider,9780762725427,Finished reading,""
¡Raza Sí! ¡Guerra No!: Chicano Protest and Patriotism during the Viet Nam War Era,Lorena Oropeza,9780520225114,Finished reading,""
"Felix Longoria's Wake: Bereavement, Racism, and the Rise of Mexican American Activism",Patrick J. Carroll,9780292712461,Finished reading,""
"UNESCO General History of Africa, Vol. II, Abridged Edition: Ancient Civilizations of Africa",G. Mokhtar,9780520066977,Finished reading,""
"Broadcasting Freedom: Radio, War, and the Politics of Race, 1938-1948",Barbara Dianne Savage,9780807824771,Finished reading,""
"Cold War, Cool Medium: Television, McCarthyism, and American Culture",Thomas Doherty,9780231129527,Finished reading,""
The Modern Middle East: A History,James L. Gelvin,9780195327595,Finished reading,""
"A Manual for Writers of Term Papers, Theses, and Dissertations",Kate L. Turabian,9780226816272,Finished reading,""
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,9780684824901,Finished reading,""
Old West/New West,Gene M. Gressley,9780806129624,Finished reading,""
General Lee's Army: From Victory to Collapse,Joseph T. Glatthaar,9781416596974,Finished reading,""
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,9780385504201,Finished reading,""
"Guns, Germs and Steel: The Fates of Human Societies",Jared Diamond,9780393061314,Finished reading,""
"The Killer Angels: The Classic Novel of the Civil War (The Civil War Trilogy, #2)",Michael Shaara,9780345407276,Finished reading,""
Created Equal: A History of the United States,Jacqueline A. Jones,9780205585816,Finished reading,""
No Place for Amateurs: How Political Consultants Are Reshaping American Democracy,Dennis W. Johnson,9780415957878,Finished reading,""
1968: The Year That Rocked The World,Mark Kurlansky,9780224073851,Finished reading,""
1968: The Year That Rocked the World,Mark Kurlansky,9780345455826,Finished reading,""
"Wild West Shows And The Images Of American Indians, 1883 1933",L.G. Moses,9780826316851,Finished reading,""
"American Indians and State Law: Sovereignty, Race, and Citizenship, 1790-1880",Deborah A. Rosen,9780803227989,Finished reading,""
Weaving the Web: The Original Design and Ultimate Destiny of the World Wide Web,Tim Berners-Lee,9780062515872,Finished reading,""
Rightward Bound: Making America Conservative in the 1970s,Bruce J. Schulman,9780674027572,Finished reading,""
Woodrow Wilson and the Roots of Modern Liberalism,Ronald J. Pestritto,9780742515161,Finished reading,""
Learning the UNIX Operating System,Jerry Peek,9780596002619,Finished reading,""
An Economic Interpretation of the Constitution of the United States,Charles A. Beard,9781150024276,Finished reading,""
William M. Kunstler: The Most Hated Lawyer in America,David J. Langum,9780814751510,Finished reading,""
The Oxford Companion to the Supreme Court of the United States,Kermit L. Hall,9780195176612,Finished reading,""
In The Shadow of Wounded Knee: The Untold Final Story of the Indian Wars,Roger L. Di Silvestro,9780802715142,Finished reading,""
"The Woman in the Zoot Suit: Gender, Nationalism, and the Cultural Politics of Memory",Catherine S. Ramírez,9780822342861,Finished reading,""
Mexicanos: A History of Mexicans in the United States,Manuel G. Gonzales,9780253353689,Finished reading,""
A Year in the South: Four Lives in 1865,Stephen V. Ash,9780312294939,Finished reading,""
Populist Revolt: A History of the Farmers' Alliance and the People's Party,John Donald Hicks,9780816660087,Finished reading,""
The Last Campaign: Robert F. Kennedy and 82 Days That Inspired America,Thurston Clarke,9780805090222,Finished reading,""
An Unfinished Life: John F. Kennedy 1917-1963,Robert Dallek,9781586215446,Finished reading,""
Groundwork: Local Black Freedom Movements in America,Jeanne Theoharis,9780814782859,Finished reading,""
The Craft of Research,Wayne C. Booth,9780226065663,Finished reading,""
"A Fierce Discontent : The Rise and Fall of the Progressive Movement in America, 1870-1920",Michael E. McGerr,9780684859750,Finished reading,""
Leisure: The Basis of Culture: Including the Philosophical Act,Josef Pieper,9781586172565,Finished reading,""
"The Bear and the Dragon  (John Clark, #3; Jack Ryan Universe, #11)",Tom Clancy,9780425180969,Finished reading,""
"Debt of Honor (Jack Ryan, #7)",Tom Clancy,9780425147580,Finished reading,""
"The Cardinal of the Kremlin (Jack Ryan, #4)",Tom Clancy,9780425116845,Finished reading,""
A Brief History of the Future: From Radio Days to Internet Years in a Lifetime,John Naughton,9781585670321,Finished reading,""
Style: The Basics of Clarity and Grace,Joseph M. Williams,9780205605354,Finished reading,""
Self-Reliance and Other Essays,Ralph Waldo Emerson,9781451510652,Finished reading,""
Force And Statecraft: Diplomatic Challenges Of Our Time,Paul Gordon Lauren,9780195162486,Finished reading,""
A Short History of the United States: From the Arrival of Native American Tribes to the Obama Presidency,Robert V. Remini,9780060831455,Finished reading,""
"American History: A Survey, Volume 2: Since 1865",Alan Brinkley,9780073985367,Finished reading,""
October Fury,Peter A. Huchthausen,9780471468844,Finished reading,""
The Soldiers' Story: Vietnam In Their Own Words,Ron Steinman,9781575001029,Finished reading,""
The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,9780142001356,Finished reading,""
Netscape Time: The Making of the Billion-Dollar Start-Up That Took on Microsoft,Jim Clark,9780312199340,Finished reading,""
"The Killer Angels: A Novel of the Civil War (The Civil War Trilogy, #2)",Michael Shaara,9780679643241,Finished reading,""
Brokeback Mountain,Annie Proulx,9780743271325,Finished reading,""
Memoirs of a Geisha,Arthur Golden,9780739326220,Finished reading,""
The Victory Garden Companion,Michael Weishan,9780060599782,Finished reading,""
The Second World War,John Keegan,9780140113419,Finished reading,""
The Era of Good Feelings,George Dangerfield,9780929587141,Finished reading,""
The Decline and Fall of the Roman Empire,Edward Gibbon,9780375758119,Finished reading,""
No Place for Amateurs: How Political Consultants Are Reshaping American Democracy,Dennis W. Johnson,9780415928366,Finished reading,""
Self-Reliance and Other Essays,Ralph Waldo Emerson,9780486277905,Finished reading,""
Buffalo Bill's America: William Cody and the Wild West Show,Louis S. Warren,9780375412165,Finished reading,""
Custerology: The Enduring Legacy of the Indian Wars and George Armstrong Custer,Michael A. Elliott,9780226201467,Finished reading,""
Elizabeth Bacon Custer and the Making of a Myth,Shirley A. Leckie,9780806125015,Finished reading,""
In the Devil's Snare: The Salem Witchcraft Crisis of 1692,Mary Beth Norton,9780375706905,Finished reading,""
The Global Cold War,Odd Arne Westad,9780521703147,Finished reading,""
Nature's Metropolis: Chicago and the Great West,William Cronon,9780393308730,Finished reading,""
"Hello, Hello Brazil: Popular Music in the Making of Modern Brazil",Bryan McCann,9780822332732,Finished reading,""
The Road,Cormac McCarthy,9780307265432,Finished reading,""
I Will Teach You to Be Rich,Ramit Sethi,9780761147480,Finished reading,""
The Last Crossing,Guy Vanderhaeghe,9780802141750,Finished reading,""
"Executive Orders (Jack Ryan, #8)",Tom Clancy,9780006479758,Finished reading,""
"The Sum of All Fears (Jack Ryan, #6)",Tom Clancy,9780425184226,Finished reading,""
Blacklisted by History: The Untold Story of Senator Joe McCarthy and His Fight Against America's Enemies,M. Stanton Evans,9781400081066,Finished reading,""
"Red Rabbit (Jack Ryan, #2)",Tom Clancy,9780399148705,Finished reading,""
"Without Remorse (John Clark, #1; Jack Ryan Universe Publication Order #6)",Tom Clancy,9780425143322,Finished reading,""
Stagecoach: Wells Fargo and the American West,Philip L. Fradkin,9780743234368,Finished reading,""
Remembering the Good War: Minnesota's Greatest Generation,Thomas Saylor,9780873515252,Finished reading,""
"Ronald Reagan: Fate, Freedom, and the Making of History",John Patrick Diggins,9780393330922,Finished reading,""
Gettysburg,Stephen W. Sears,9780618485383,Finished reading,""
The Forgotten Man: A New History of the Great Depression,Amity Shlaes,9780060936426,Finished reading,""
Nixon and Kissinger: Partners in Power,Robert Dallek,9780060722319,Finished reading,""
"Patriot Games (Jack Ryan, #1)",Tom Clancy,9780425134351,Finished reading,""
Red Storm Rising,Tom Clancy,9780394298665,Finished reading,""
"Clear and Present Danger (Jack Ryan, #5; Jack Ryan Universe, #6)",Tom Clancy,9780425144374,Finished reading,""
"The Confederate War: How Popular Will, Nationalism, and Military Strategy Could Not Stave Off Defeat",Gary W. Gallagher,9780674160569,Finished reading,""
"Rainbow Six (John Clark, #2; Jack Ryan Universe, #10)",Tom Clancy,9780425170342,Finished reading,""
The Legend of Colton H. Bryant,Alexandra Fuller,9781594201837,Finished reading,""
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,9780142000281,Finished reading,""
The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey,9781595550781,Finished reading,""
My So-Called Freelance Life: How to Survive and Thrive as a Creative Professional for Hire,Michelle Goodman,9781580052597,Finished reading,""
Revolutionary Characters: What Made the Founders Different,Gordon S. Wood,9780143112082,Finished reading,""
"Insurgent Cuba: Race, Nation, and Revolution, 1868-1898",Ada Ferrer,9780807847831,Finished reading,""
"Mexican National Identity: Memory, Innuendo, and Popular Culture",William H. Beezley,9780816526901,Finished reading,""
Rightward Bound: Making America Conservative in the 1970s,Bruce J. Schulman,9780674027589,Finished reading,""
Regionalism and the Humanities,Timothy R Mahoney,9780803220461,Finished reading,""
A Nation Among Nations: America's Place in World History,Thomas Bender,9780809072354,Finished reading,""
Alexander the Great,Paul Anthony Cartledge,9781400079193,Finished reading,""
Bush at War,Bob Woodward,9780743461078,Finished reading,""
The Disuniting of America: Reflections on a Multicultural Society,Arthur M. Schlesinger Jr.,9780393318548,Finished reading,""
John Adams,David McCullough,9780743223133,Finished reading,""
Intelligence in War: Knowledge of the Enemy from Napoleon to Al-Qaeda,John Keegan,9780739307557,Finished reading,""
Flyboys: A True Story of Courage,James D. Bradley,9780316107280,Finished reading,""
Accidental Empires,Robert X. Cringely,9780887308550,Finished reading,""
Silicon Snake Oil: Second Thoughts on the Information Highway,Clifford Stoll,9780385419949,Finished reading,""
Frontiers Past and Future: Science Fiction and the American West,Carl Abbott,9780700614301,Finished reading,""
Reinventing Knowledge: From Alexandria to the Internet,Ian F. McNeely,9780393337716,Finished reading,""
Nerds 2.0.1,Stephen Segaller,9781575000886,Finished reading,""
Where Wizards Stay Up Late: The Origins of the Internet,Katie Hafner,9780684832678,Finished reading,""
The Language of New Media,Lev Manovich,9780262632553,Finished reading,""
"Fumbling the Future: How Xerox Invented, Then Ignored, the First Personal Computer",Douglas K. Smith,9781583482667,Finished reading,""
Decolonization and Its Impact: A Comparative Approach to the End of the Colonial Empires,Martin Shipway,9780631199670,Finished reading,""
Nationalism,Anthony D. Smith,9780192892607,Finished reading,""
Mao's China and the Cold War,Chen Jian,9780807849323,Finished reading,""
The Battle for God: A History of Fundamentalism,Karen Armstrong,9780345391698,Finished reading,""
Something New Under the Sun: An Environmental History of the Twentieth-Century World,John Robert McNeill,9780393321838,Finished reading,""
"Cesar's Way: The Natural, Everyday Guide to Understanding and Correcting Common Dog Problems",Cesar Millan,9780307337979,Finished reading,""
Be the Pack Leader: Use Cesar's Way to Transform Your Dog . . . and Your Life,Cesar Millan,9780307381675,Finished reading,""
How to Raise the Perfect Dog: Through Puppyhood and Beyond,Cesar Millan,9780307461308,Finished reading,""
Cesar's Rules: Your Way to Train a Well-Behaved Dog,Cesar Millan,9780307716866,Finished reading,""
"101 Dog Tricks: Step by Step Activities to Engage, Challenge, and Bond with Your Dog",Kyra Sundance,9781592533251,Finished reading,""
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas,9780974514055,Finished reading,""
Tools for Thought: The History and Future of Mind-Expanding Technology,Howard Rheingold,9780262681155,Finished reading,""
"Brown-Eyed Children of the Sun: Lessons from the Chicano Movement, 1965-1975",George Mariscal,9780826338051,Finished reading,""
The First World War,Hew Strachan,9780143035183,Finished reading,""
"The Communist Experiment: Revolution, Socialism, and Global Conflict in the Twentieth Century",Robert W. Strayer,9780072497441,Finished reading,""
Inventing Japan: 1853-1964,Ian Buruma,9780812972863,Finished reading,""
The Silent Majority: Suburban Politics in the Sunbelt South,Matthew D. Lassiter,9780691133898,Finished reading,""
"Mexicans in Revolution, 1910-1946: An Introduction",William H. Beezley,9780803224476,Finished reading,""
The Massacre at El Mozote,Mark Danner,9780679755258,Finished reading,""
Forcing the Spring: The Transformation of the American Environmental Movement,Robert Gottlieb,9781559638326,Finished reading,""
Programming Ruby 1.9: The Pragmatic Programmers' Guide,Dave Thomas,9781934356081,Finished reading,""
Cyber Reader,Neil Spiller,9780714840710,Finished reading,""
Why the Civil War Came,Gabor S. Boritt,9780195113761,Finished reading,""
Moving Politics: Emotion and ACT UP's Fight against AIDS,Deborah B. Gould,9780226305301,Finished reading,""
Behind the Trail of Broken Treaties: An Indian Declaration of Independence,Vine Deloria Jr.,9780292707542,Finished reading,""
Memoirs of a Geisha,Arthur Golden,9781400096893,Finished reading,""
Brokeback Mountain,Annie Proulx,9780739462164,Finished reading,""
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,9781400052929,Finished reading,""
No Country for Old Men,Cormac McCarthy,9780307387134,Finished reading,""
The Civil Rights Movement in American Memory,Renee C. Romano,9780820328140,Finished reading,""
Compañero: The Life and Death of Che Guevara,Jorge G. Castañeda,9780679759409,Finished reading,""
Che's Afterlife: The Legacy of an Image,Michael J. Casey,9780307279309,Finished reading,""
"1973 Nervous Breakdown: Watergate, Warhol, and the Birth of Post-Sixties America",Andreas Killen,9781596910607,Finished reading,""
"George McGovern: A Political Life, a Political Legacy",Robert P. Watson,9780971517165,Finished reading,""
Before the Storm: Barry Goldwater and the Unmaking of the American Consensus,Rick Perlstein,9781568584126,Finished reading,""
The Unraveling of America: A History of Liberalism in the 1960s,Allen J. Matusow,9780820334059,Finished reading,""
Atlas Shrugged,Ayn Rand,9780452011878,Finished reading,""
American Indian Tribal Governments,Sharon O'Brien,9780806125640,Finished reading,""
Heart of the Rock: The Indian Invasion of Alcatraz,Adam Fortunate Eagle,9780806139890,Finished reading,""
"Black Hills/White Justice: The Sioux Nation versus the United States, 1775 to the Present",Edward Lazarus,9780803279872,Finished reading,""
Wounded Knee 1973: A Personal Account,Stanley David Lyman,9780803279339,Finished reading,""
Groove Tube: Sixties Television and the Youth Rebellion,Aniko Bodroghkozy,9780822326564,Finished reading,""
"Framing the South: Hollywood, Television, and Race during the Civil Rights Struggle",Allison Graham,9780801874451,Finished reading,""
Tube of Plenty: The Evolution of American Television,Erik Barnouw,9780195064841,Finished reading,""
The Image: A Guide to Pseudo-Events in America,Daniel J. Boorstin,9780679741800,Finished reading,""
Organizing the Lakota: The Political Economy of the New Deal on the Pine Ridge and Rosebud Reservations,Thomas Biolsi,9780816518852,Finished reading,""
"""Real"" Indians and Others: Mixed-Blood Urban Native Peoples and Indigenous Nationhood",Bonita Lawrence,9780803280373,Finished reading,""
The Victory Garden Companion,Michael Weishan,9780060599775,Finished reading,""
Organic Gardening: A Comprehensive Guide to Chemical-Free Growing,Crow Miller,9780028623153,Finished reading,""
A Matter of Justice: Eisenhower and the Beginning of the Civil Rights Revolution,David A. Nichols,9781416541516,Finished reading,""
Demographic Vistas: Television In American Culture,David Marc,9780812215601,Finished reading,""
Preserving the Nation: The Conservation and Environmental Movements 1870 - 2000,Thomas Raymond Wellock,9780882952543,Finished reading,""
Urban America in the Modern Age: 1920 To the Present (American History Series),Carl Abbott,9780882958408,Finished reading,""
"The Republican Ascendancy: American Politics, 1968-2001",Michael Schaller,9780882959702,Finished reading,""
Conquests and Consequences: The American West from Frontier to Region,Carol L. Higham,9780882952703,Finished reading,""
"We Talk, You Listen: New Tribes, New Turf",Vine Deloria Jr.,9780803259850,Finished reading,""
The National Congress of American Indians: The Founding Years,Thomas W. Cowger,9780803264144,Finished reading,""
Powwow,Clyde Ellis,9780803267558,Finished reading,""
American Politics in the Gilded Age: 1868 - 1900,Robert W. Cherny,9780882959337,Finished reading,""
Social Darwinism in American Thought,Richard Hofstadter,9780807055038,Finished reading,""
Dean Acheson: A Life in the Cold War,Robert L. Beisner,9780195382488,Finished reading,""
The Reagan Diaries,Ronald Reagan,9780061558337,Finished reading,""
"The American Promise: A History of the United States, Value Edition (Combined Version, Vols. I & II)",James L. Roark,9780312487348,Finished reading,""
Readings in American Military History,James M. Morris,9780131825161,Finished reading,""
The American Far West in the Twentieth Century,Earl Pomeroy,9780300158526,Finished reading,""
Coming of Age: The United States During the 1920s and 1930s,Donald R. McCoy,9780140212457,Finished reading,""
"The Battle for Butte: Mining and Politics on the Northern Frontier, 1864-1906",Michael P. Malone,9780295986074,Finished reading,""
"Law and Order in Buffalo Bill's Country: Legal Culture and Community on the Great Plains, 1867-1910",Mark R. Ellis,9780803227873,Finished reading,""
Frederick Jackson Turner: Strange Roads Going Down,Allan G. Bogue,9780806130392,Finished reading,""
The North Dakota Political Tradition,Charles Nelson Howard,9780813805207,Finished reading,""
Mari Sandoz: Story Catcher of the Plains,Helen Winter Stauffer,9780803291348,Finished reading,""
The Identity of the American Midwest: Essays on Regional History,Andrew R.L. Cayton,9780253219206,Finished reading,""
The First World War,John Keegan,9780375700453,Finished reading,""
The Second World War,John Keegan,9780143035732,Finished reading,""
"The Day of Battle: The War in Sicily and Italy, 1943-1944",Rick Atkinson,9780805088618,Finished reading,""
Where Have All the Soldiers Gone?: The Transformation of Modern Europe,James J. Sheehan,9780547086330,Finished reading,""
Chief Joseph & the Flight of the Nez Perce: The Untold Story of an American Tragedy,Kent Nerburn,9780061136085,Finished reading,""
Soldiers Falling Into Camp: The Battles at the Rosebud and the Little Big Horn,Robert Kammer,9781879915046,Finished reading,""
Into the West: The Story of Its People,Walter Nugent,9780679777496,Finished reading,""
New South Dakota History,Herbert T. Hoover,9780931170836,Finished reading,""
Pioneer Days in the Black Hills: Accurate History and Facts Related By One of the Early Day Pioneers,John S. McClintock,9780806131917,Finished reading,""
Looking for History on Highway 14,John E. Miller,9780962262166,Finished reading,""
The Strange Career of Jim Crow,C. Vann Woodward,9780195146905,Finished reading,""
"Nat Turner: Cry Freedom in America: Creators of the American Mind Series, Volume I",James T. Baker,9780155038554,Finished reading,""
Hostiles and Friendlies: Selected Short Writings of Mari Sandoz,Mari Sandoz,9780803292086,Finished reading,""
Railroads and American Law,James W. Ely Jr.,9780700611447,Finished reading,""
Nothing Like It in the World: The Men Who Built the Transcontinental Railroad 1863-69,Stephen E. Ambrose,9780743203173,Finished reading,""
The Magic Mirror: Law in American History,Kermit L. Hall,9780195081800,Finished reading,""
A History of American Law,Lawrence M. Friedman,9780684869889,Finished reading,""
The Lance and the Shield: The Life and Times of Sitting Bull,Robert M. Utley,9780345389381,Finished reading,""
"Farewell, My Nation: The American Indian and the United States in the Nineteenth Century",Philip Weeks,9780882959566,Finished reading,""
The Great Father: The United States Government and the American Indians (Abridged Edition),Francis Paul Prucha,9780803287129,Finished reading,""
Conflict and Transformation: The United States 1844-1877,William R. Brock,9780140212426,Finished reading,""
"The Impending Crisis: America Before the Civil War, 1848-1861",David Morris Potter,9780061319297,Finished reading,""
"The Americans, Vol. 3: The Democratic Experience",Daniel J. Boorstin,9780394710112,Finished reading,""
America's Constitution: A Biography,Akhil Reed Amar,9780812972726,Finished reading,""
Reconstructing America: The Symbol of America in Modern Thought,James W. Ceaser,9780300084535,Finished reading,""
Capital City,Mari Sandoz,9780803260313,Finished reading,""
Mystic Chords of Memory: The Transformation of Tradition in American Culture,Michael Kammen,9780679741770,Finished reading,""
"Partial Visions: Culture and Politics in Britain, Canada, and the United States",Richard M. Merelman,9780299129903,Finished reading,""
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,9780743203043,Finished reading,""
In the Wake of the Plague: The Black Death and the World It Made,Norman F. Cantor,9780060014346,Finished reading,""
To the Finland Station,Edmund Wilson,9781590170335,Finished reading,""
The Grand Strategy of the Roman Empire from the First Century AD to the Third,Edward N. Luttwak,9780801821585,Finished reading,""
The Decline and Fall of the Roman Empire,Edward Gibbon,9780753818817,Finished reading,""
"Teaching American History: Essays Adapted from The Journal of American History, 2001-2007",Gary J. Kornblith,9780312484163,Finished reading,""
The Great Tradition: Classic Readings on What It Means to Be an Educated Human Being,Richard M. Gamble,9781935191568,Finished reading,""
American Political History: Essays on State of Discipline,Wilson D. Miscamble,9780268006525,Finished reading,""
"Liberal Fascism: The Secret History of the American Left, From Mussolini to the Politics of Meaning",Jonah Goldberg,9780767917186,Finished reading,""
On Politics and the Art of Acting,Arthur  Miller,9780670030422,Finished reading,""
Presidential Courage: Brave Leaders & How They Changed America 1789-1989,Michael R. Beschloss,9780743257442,Finished reading,""
Civic Wars: Democracy and Public Life in the American City during the Nineteenth Century,Mary P. Ryan,9780520216600,Finished reading,""
"The Skies of Babylon: Diversity, Nihilism, and the American University",Barry Bercier,9781933859354,Finished reading,""
The Last Intellectuals: American Culture In The Age Of Academe,Russell Jacoby,9780465036257,Finished reading,""
Democracy's Discontent: America in Search of a Public Philosophy,Michael J. Sandel,9780674197459,Finished reading,""
The Road to Serfdom,Friedrich A. Hayek,9780226320618,Finished reading,""
The New Political Culture,Terry N. Clark,9780813366944,Finished reading,""
The Politics and The Constitution of Athens,Aristotle,9780521484008,Finished reading,""
The American Political Tradition and the Men Who Made It,Richard Hofstadter,9780679723158,Finished reading,""
The White House Staff: Inside the West Wing and Beyond,Bradley H. Patterson,9780815769514,Finished reading,""
The Fair Tax Book: Saying Goodbye to the Income Tax and the IRS,Neal Boortz,9780060875497,Finished reading,""
The Terror Presidency: Law and Judgment Inside the Bush Administration,Jack L. Goldsmith,9780393335330,Finished reading,""
The Vast Left Wing Conspiracy: The Untold Story of the Democrats' Desperate Fight to Reclaim Power,Byron York,9781400082391,Finished reading,""
Local Knowledge: Further Essays In Interpretive Anthropology,Clifford Geertz,9780465041626,Finished reading,""
The Culture of Narcissism: American Life in an Age of Diminishing Expectations,Christopher Lasch,9780393307382,Finished reading,""
The Revolt of the Elites and the Betrayal of Democracy,Christopher Lasch,9780393313710,Finished reading,""
Richard Hofstadter: An Intellectual Biography,David S. Brown,9780226076416,Finished reading,""
The Paranoid Style in American Politics and Other Essays,Richard Hofstadter,9780674654617,Finished reading,""
The Idea of a Party System: The Rise of Legitimate Opposition in the United States 1780-1840,Richard Hofstadter,9780520017542,Finished reading,""
Just Being Difficult?: Academic Writing in the Public Arena,Jonathan D. Culler,9780804747103,Finished reading,""
The Culture Cult: Designer Tribalism And Other Essays,Roger Sandall,9780813338637,Finished reading,""
In the Past Lane: Historical Perspectives on American Culture,Michael Kammen,9780195130911,Finished reading,""
The Killing of History: How Literary Critics and Social Theorists Are Murdering Our Past,Keith Windschuttle,9781893554122,Finished reading,""
History Wars: The Enola Gay and Other Battles for the American Past,Edward T. Linethal,9780805043877,Finished reading,""
The Progressive Historians,Richard Hofstadter,9780394705910,Finished reading,""
"That Noble Dream: The ""Objectivity Question"" and the American Historical Profession",Peter Novick,9780521357456,Finished reading,""
The Education of Historians for Twenty-first Century,Thomas Bender,9780252071652,Finished reading,""
"Historians in Public: The Practice of American History, 1890-1970",Ian R. Tyrrell,9780226821948,Finished reading,""
Who Owns History?: Rethinking the Past in a Changing World,Eric Foner,9780809097050,Finished reading,""
Natives and Academics: Researching and Writing about American Indians,Devon A. Mihesuah,9780803282438,Finished reading,""
How to Complete and Survive a Doctoral Dissertation,David Sternberg,9780312396060,Finished reading,""
Writing History: A Guide for Students,William Kelleher Storey,9780195337556,Finished reading,""
A Student's Guide to History,Jules R. Benjamin,9780312535025,Finished reading,""
From Reliable Sources: An Introduction to Historical Methodology,Martha C. Howell,9780801485602,Finished reading,""
The New Renaissance: Computers and the Next Level of Civilization,Douglas S. Robertson,9780195121896,Finished reading,""
The Success of Open Source,Steven Weber,9780674018587,Finished reading,""
Digital Copyright,Jessica Litman,9781591024200,Finished reading,""
The Access Principle: The Case for Open Access to Research and Scholarship,John Willinsky,9780262512664,Finished reading,""
Glut: Mastering Information Through the Ages,Alex Wright,9780801475092,Finished reading,""
Electric Dreams: Computers in American Culture,Ted Friedman,9780814727409,Finished reading,""
"Digital History: A Guide to Gathering, Preserving, and Presenting the Past on the Web",Daniel J. Cohen,9780812219234,Finished reading,""
Thinking Like Your Editor: How to Write Great Serious Nonfiction and Get It Published,Susan Rabiner,9780393324617,Finished reading,""
The Artful Edit: On the Practice of Editing Yourself,Susan Bell,9780393332179,Finished reading,""
Literature Lost: Social Agendas and the Corruption of the Humanities,John M. Ellis,9780300075793,Finished reading,""
"Becoming Mexican American: Ethnicity, Culture, and Identity in Chicano Los Angeles, 1900-1945",George J. Sanchez,9780195096484,Finished reading,""
Looking for Mexico: Modern Visual Culture and National Identity,John Mraz,9780822344438,Finished reading,""
Peasant and Nation: The Making of Postcolonial Mexico and Peru,Florencia E. Mallon,9780520085053,Finished reading,""
"Ladies of Labor, Girls of Adventure: Working Women, Popular Culture, and Labor Politics at the Turn of the Twentieth Century",Nan Enstad,9780231111034,Finished reading,""
Agents of Repression: The FBI's Secret Wars against the Black Panther Party & the American Indian Movement,Ward Churchill,9780896086463,Finished reading,""
Cinemachismo: Masculinities and Sexuality in Mexican Film,Sergio de la Mora,9780292712973,Finished reading,""
"Scholarship in the Digital Age: Information, Infrastructure, and the Internet",Christine L. Borgman,9780262026192,Finished reading,""
